Date,RSI:Retail of computer and telecomms equipment (val sa):All Business Index,RSI:Predominantly food stores (val sa):All Business Index,RSI:Retail cosmetic & toilet articles (val sa):All Business Index,RSI:Retail sale of clothing (val sa):All Business Index
1988-02-01,84.2,25.2,13.4,30.6
1988-03-01,81.8,25.3,13.8,30.5
1988-04-01,86.0,25.5,14.1,30.8
1988-05-01,88.1,25.4,14.4,31.1
1988-06-01,89.0,25.6,14.3,32.1
1988-07-01,93.2,25.5,14.2,32.3
1988-08-01,94.9,25.9,14.9,32.3
1988-09-01,94.2,25.9,14.8,32.4
1988-10-01,94.8,26.2,14.9,33.2
1988-11-01,98.4,26.4,15.2,33.7
1988-12-01,99.3,26.6,15.0,33.4
1989-01-01,105.0,26.2,15.4,33.4
1989-02-01,108.7,26.8,15.3,33.0
1989-03-01,108.1,26.9,15.4,33.6
1989-04-01,110.9,27.1,15.6,33.7
1989-05-01,112.6,27.5,16.0,35.1
1989-06-01,113.8,27.7,16.8,33.6
1989-07-01,111.9,27.7,16.3,33.6
1989-08-01,111.9,27.9,16.1,33.8
1989-09-01,115.2,28.0,16.8,34.3
1989-10-01,116.8,28.3,16.7,34.3
1989-11-01,118.0,28.5,16.4,34.9
1989-12-01,119.2,28.9,16.7,34.7
1990-01-01,122.8,28.8,16.9,35.1
1990-02-01,125.3,29.2,17.1,36.2
1990-03-01,128.8,29.4,16.9,36.7
1990-04-01,129.0,29.1,17.2,35.9
1990-05-01,128.4,30.3,17.8,37.3
1990-06-01,129.0,29.8,17.1,36.2
1990-07-01,130.7,30.4,18.4,37.7
1990-08-01,126.6,30.3,18.0,36.0
1990-09-01,132.1,30.6,17.5,36.3
1990-10-01,136.2,30.6,17.7,35.3
1990-11-01,133.4,30.6,17.7,35.4
1990-12-01,134.7,31.1,16.6,35.6
1991-01-01,126.6,31.2,17.0,36.5
1991-02-01,128.8,31.4,17.3,36.0
1991-03-01,135.4,32.0,17.5,37.2
1991-04-01,133.9,32.1,18.0,37.1
1991-05-01,134.0,32.0,17.2,37.1
1991-06-01,129.7,32.4,16.4,37.1
1991-07-01,134.3,33.0,18.8,38.7
1991-08-01,134.2,33.0,17.8,37.1
1991-09-01,128.5,33.1,17.2,36.4
1991-10-01,132.3,32.8,18.4,36.1
1991-11-01,131.3,32.9,18.5,36.2
1991-12-01,125.6,33.5,19.1,36.8
1992-01-01,147.5,33.2,20.2,36.9
1992-02-01,140.6,33.8,19.7,37.3
1992-03-01,134.6,33.9,20.1,36.5
1992-04-01,136.0,34.1,19.8,36.4
1992-05-01,139.2,34.2,19.7,38.7
1992-06-01,140.1,34.1,20.2,36.7
1992-07-01,133.8,33.8,20.2,37.0
1992-08-01,147.8,34.0,20.1,38.2
1992-09-01,127.8,34.4,20.7,38.0
1992-10-01,133.1,34.8,21.5,38.7
1992-11-01,130.6,34.9,21.5,38.0
1992-12-01,125.8,34.9,21.4,37.9
1993-01-01,118.3,35.4,21.3,38.0
1993-02-01,120.4,35.2,21.3,38.0
1993-03-01,119.7,35.4,21.0,37.5
1993-04-01,116.8,35.4,21.4,37.8
1993-05-01,115.6,35.6,21.6,37.7
1993-06-01,115.3,35.9,21.8,38.8
1993-07-01,116.5,35.6,21.7,38.3
1993-08-01,113.5,36.1,22.1,39.1
1993-09-01,116.4,36.2,22.0,39.1
1993-10-01,114.0,36.3,21.7,40.1
1993-11-01,115.5,36.4,22.3,39.8
1993-12-01,120.8,36.5,23.3,40.4
1994-01-01,122.0,36.9,21.9,40.1
1994-02-01,113.2,36.6,21.5,39.0
1994-03-01,117.1,36.7,22.2,40.7
1994-04-01,107.3,36.8,21.8,40.2
1994-05-01,116.3,36.9,21.8,40.5
1994-06-01,117.6,37.4,22.2,40.7
1994-07-01,113.5,37.7,22.4,40.7
1994-08-01,116.1,37.7,22.4,40.9
1994-09-01,116.6,37.7,22.2,41.9
1994-10-01,112.9,37.9,22.1,41.6
1994-11-01,120.4,38.1,21.8,40.9
1994-12-01,118.3,38.0,24.0,43.2
1995-01-01,116.2,38.4,21.0,41.0
1995-02-01,120.4,38.9,22.0,41.5
1995-03-01,119.0,38.8,21.6,41.7
1995-04-01,120.5,39.0,22.3,42.8
1995-05-01,120.5,39.4,22.6,42.7
1995-06-01,120.0,39.4,22.1,42.0
1995-07-01,124.5,39.8,22.0,42.7
1995-08-01,121.8,40.5,22.8,41.5
1995-09-01,120.7,40.0,22.7,42.9
1995-10-01,119.4,40.0,22.6,42.2
1995-11-01,115.4,40.1,21.9,43.3
1995-12-01,115.7,40.5,24.7,45.4
1996-01-01,117.7,40.2,23.0,42.7
1996-02-01,118.0,41.1,23.4,43.9
1996-03-01,118.7,41.6,24.0,43.5
1996-04-01,122.8,41.8,23.4,44.9
1996-05-01,124.4,41.5,23.6,43.9
1996-06-01,122.3,42.1,24.3,45.8
1996-07-01,121.0,42.1,23.9,43.6
1996-08-01,121.8,41.9,23.4,45.3
1996-09-01,122.6,42.3,24.2,46.1
1996-10-01,124.8,42.4,24.4,45.0
1996-11-01,122.1,42.6,24.9,47.5
1996-12-01,126.7,42.5,24.4,46.5
1997-01-01,119.4,42.6,25.7,46.4
1997-02-01,120.7,42.9,26.1,46.7
1997-03-01,120.5,43.1,25.7,47.9
1997-04-01,119.2,43.4,26.2,47.6
1997-05-01,117.4,43.3,25.9,47.3
1997-06-01,120.2,43.2,25.8,48.2
1997-07-01,118.5,44.1,26.9,48.2
1997-08-01,113.3,44.5,26.5,47.6
1997-09-01,119.0,44.5,26.4,47.7
1997-10-01,121.4,44.8,26.6,49.3
1997-11-01,124.2,44.7,26.7,48.8
1997-12-01,116.9,45.1,26.4,49.5
1998-01-01,120.2,45.2,26.5,48.5
1998-02-01,119.8,45.3,26.1,48.5
1998-03-01,120.4,45.5,25.6,48.0
1998-04-01,119.8,45.6,26.6,47.8
1998-05-01,117.0,46.1,26.5,50.3
1998-06-01,117.4,46.1,26.3,47.5
1998-07-01,120.1,45.8,26.2,49.2
1998-08-01,119.7,46.5,28.0,50.0
1998-09-01,120.8,46.3,27.0,48.6
1998-10-01,120.1,46.6,26.7,49.0
1998-11-01,123.6,46.8,26.3,49.7
1998-12-01,119.5,46.5,26.5,49.0
1999-01-01,126.4,47.0,25.8,49.2
1999-02-01,129.0,47.1,26.2,48.9
1999-03-01,126.8,47.0,27.1,49.5
1999-04-01,128.6,47.0,25.8,49.5
1999-05-01,132.8,47.2,25.9,50.2
